date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:29	811432/811432	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:54:14%20GMT	https://romsfun.com/roms/playstation-2	./romsfun-ps2/romsfun.com/roms/playstation-2.html	(from )
17:58:30	68/68	---MCZ	200	added ('OK')	text/plain	etag:W/%2261339a78-42%22	https://romsfun.com/robots.txt		(from )
17:58:31	812584/812584	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:54:17%20GMT	https://romsfun.com/roms/playstation-2/page/2	./romsfun-ps2/romsfun.com/roms/playstation-2/page/2.html	(from https://romsfun.com/roms/playstation-2)
17:58:31	22344/22344	---MCZ	404	error ('Not%20Found')	application/rss+xml	etag:W/%221a0173d6c76aef3b3c84654c10297abb%22	https://romsfun.com/roms/playstation-2/feed	./romsfun-ps2/romsfun.com/roms/playstation-2/feed	(from https://romsfun.com/roms/playstation-2)
17:58:33	69239/69239	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:56:06%20GMT	https://romsfun.com/roms/playstation-2/god-of-war-ii.html	./romsfun-ps2/romsfun.com/roms/playstation-2/god-of-war-ii.html	(from https://romsfun.com/roms/playstation-2)
17:58:34	69218/69218	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:55:12%20GMT	https://romsfun.com/roms/playstation-2/god-of-war.html	./romsfun-ps2/romsfun.com/roms/playstation-2/god-of-war.html	(from https://romsfun.com/roms/playstation-2)
17:58:35	68665/68665	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:56:06%20GMT	https://romsfun.com/roms/playstation-2/grand-theft-auto-san-andreas.html	./romsfun-ps2/romsfun.com/roms/playstation-2/grand-theft-auto-san-andreas.html	(from https://romsfun.com/roms/playstation-2)
17:58:36	69813/69813	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:53:29%20GMT	https://romsfun.com/roms/playstation-2/resident-evil-4.html	./romsfun-ps2/romsfun.com/roms/playstation-2/resident-evil-4.html	(from https://romsfun.com/roms/playstation-2)
17:58:37	66788/66788	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2015:54:30%20GMT	https://romsfun.com/roms/playstation-2/need-for-speed-underground-2.html	./romsfun-ps2/romsfun.com/roms/playstation-2/need-for-speed-underground-2.html	(from https://romsfun.com/roms/playstation-2)
17:58:38	67084/67084	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2016:00:25%20GMT	https://romsfun.com/roms/playstation-2/wwe-smackdown-here-comes-the-pain.html	./romsfun-ps2/romsfun.com/roms/playstation-2/wwe-smackdown-here-comes-the-pain.html	(from https://romsfun.com/roms/playstation-2)
